,Origin_airport,Destination_airport,Total_passengers,Total_departures,KMeansCluster
24800,MSY,IAD,1149352,14372,4
23227,MIA,JAX,1148361,28639,4
2340,AUS,MEM,1148328,24786,4
24810,MSY,JFK,1147868,10601,4
16464,IAH,BRO,1147508,30350,4
25959,OKC,SLC,1147448,16794,4
4163,BMI,ATL,1145669,17893,4
1859,ATL,BMI,1145564,17974,4
33668,STL,HNL,1142259,4390,4
9308,DCA,BUF,1141772,19305,4
32859,SLC,IDA,1140590,32011,4
16359,IAD,OAK,1140469,9577,4
23654,MKE,PHL,1140254,29647,4
28730,PVD,TPA,1139384,10653,4
18080,JAX,TPA,1138512,24508,4
18024,JAX,MIA,1137470,29182,4
9287,DCA,ALB,1136617,19936,4
27750,PHX,TPA,1135239,9207,4
12131,FAT,DFW,1133705,12013,4
16606,IAH,OMA,1133261,20736,4
5350,BUF,MCO,1133217,11221,4
34926,TPA,PHX,1132591,9195,4
15736,HOU,BWI,1132495,11399,4
15711,HOU,ABQ,1132400,12275,4
22327,MEM,AUS,1131292,24906,4
5602,BWI,HOU,1130810,11302,4
7074,CLE,SFO,1128666,12277,4
9400,DCA,MSY,1127082,14237,4
27422,PHL,MKE,1125343,29524,4
9199,DAY,PIT,1125280,22712,4
22376,MEM,CVG,1123857,31912,4
31656,SEA,OGG,1122542,5583,4
24473,MSP,CID,1122389,37588,4
19305,LBB,AUS,1121299,14183,4
18257,JFK,MSY,1120981,10617,4
19210,LAX,MKE,1120644,12530,4
24762,MSY,DCA,1119728,14199,4
8555,CVG,GSO,1118412,25417,4
14733,GSO,DFW,1114185,19389,4
26301,ORD,ANC,1113240,40003,4
19299,LBB,ABQ,1109971,18262,4
1213,ALB,CLT,1106754,11849,4
8461,CVG,ALB,1106296,17490,4
9650,DFW,FAT,1106050,12050,4
34734,TOL,ORD,1105896,33477,4
26560,ORD,TOL,1104497,33184,4
23052,MHT,MDW,1104271,11702,4
28847,PWM,CVG,1103846,14228,4
15128,GTF,SLC,1102668,20780,4
29657,RIC,EWR,1099637,31013,4
23528,MKE,CLT,1093822,19167,4
16355,IAD,MSY,1092795,14378,4
21827,MCO,PBI,1092248,26331,4
21697,MCO,BUF,1092207,11074,4
13274,FWA,DTW,1091214,36088,4
6758,CID,MSP,1090836,37309,4
34878,TPA,JAX,1089960,24267,4
24646,MSP,RDU,1088713,12694,4
16574,IAH,MAF,1088663,25632,4
21144,MAF,IAH,1088090,25608,4
1657,ANC,ORD,1087438,48424,4
11875,EWR,RIC,1087229,30677,4
7237,CLT,ALB,1085913,11966,4
29645,RIC,CVG,1085442,22925,4
19808,LEX,ORD,1084256,23736,4
30616,SAN,HNL,1083686,4882,4
29340,RDU,MSP,1082247,12688,4
26139,OMA,IAH,1082116,20267,4
1822,ATL,ABE,1080871,18046,4
5067,BTR,MEM,1079727,22021,4
8644,CVG,PWM,1079355,14286,4
15104,GTF,MSP,1078345,13844,4
21857,MCO,SFO,1078263,7606,4
9439,DCA,SYR,1075898,20903,4
22351,MEM,BTR,1074218,22715,4
21409,MCI,DAL,1073439,12777,4
8955,DAL,MCI,1072971,12768,4
8479,CVG,BHM,1068803,20362,4
1920,ATL,FAY,1068600,40573,4
27562,PHX,DCA,1067207,8504,4
34142,SYR,DCA,1066954,20472,4
32657,SJC,STL,1065996,11678,4
11498,EUG,PDX,1065586,69220,4
18073,JAX,STL,1063008,18549,4
29995,RNO,MSP,1062059,9878,4
33686,STL,JAX,1062049,18067,4
22198,MDW,MHT,1057500,11670,4
7380,CLT,MKE,1056496,19201,4
18828,LAS,FLL,1056215,8007,4
24539,MSP,GTF,1055192,13995,4
7,ABE,ATL,1053895,18304,4
27398,PHL,LGA,1049672,31488,4
191,ABQ,AMA,1049548,13478,4
27127,PDX,STL,1049535,9927,4
7021,CLE,MIA,1049127,14163,4
22159,MDW,IAD,1048498,13629,4
20088,LGA,MSY,1047653,11754,4
27006,PDX,EUG,1047195,59191,4
32309,SHV,ATL,1046836,21184,4
10542,DTW,FWA,1046795,35934,4
16339,IAD,MDW,1045945,13667,4
33749,STL,PDX,1043937,10077,4
3704,BHM,TPA,1042220,10657,4
23151,MIA,CLE,1041133,14191,4
23019,MHT,EWR,1040688,25431,4
28158,PIT,MHT,1037561,14169,4
24651,MSP,RNO,1037482,9881,4
22230,MDW,RDU,1036514,12329,4
7945,COS,MSP,1035284,11006,4
15636,HNL,SAN,1034027,4907,4
266,ABQ,HOU,1032637,11941,4
30557,SAN,BNA,1032432,9840,4
9410,DCA,PHX,1032128,8457,4
14729,GSO,CVG,1030561,24424,4
24480,MSP,COS,1030104,11083,4
34897,TPA,MCO,1029619,19957,4
227,ABQ,CVG,1028971,8819,4
29329,RDU,MDW,1027984,12358,4
33284,SNA,EWR,1027309,11519,4
12518,FLL,LAS,1023255,7977,4
33782,STL,SJC,1019303,11515,4
12229,FAY,ATL,1017195,40350,4
26444,ORD,LEX,1016891,22716,4
21874,MCO,TPA,1014856,20942,4
11900,EWR,SNA,1014597,11164,4
26840,PBI,MCO,1013966,25156,4
10444,DTW,ABE,1010771,25767,4
32921,SLC,PHL,1010552,9296,4
8642,CVG,PVD,1009772,12654,4
15726,HOU,BHM,1007701,10085,4
5285,BUF,CVG,1005967,17714,4
9020,DAL,STL,1005525,11802,4
35397,TUS,MSP,1004409,9703,4
27658,PHX,MEM,1003327,16964,4
34150,SYR,EWR,999211,32892,4
24820,MSY,LGA,998505,11675,4
4428,BNA,SAN,998401,9766,4
20058,LGA,JAX,998306,18638,4
7009,CLE,MCI,996622,21330,4
32522,SJC,BOS,996359,9953,4
11839,EWR,MHT,995413,25122,4
33613,STL,DAL,994869,11782,4
33566,STL,AUS,993903,16885,4
10642,DTW,RIC,993709,21314,4
27477,PHL,SLC,992424,9253,4
15799,HOU,LAX,990747,9792,4
2871,BDL,EWR,989960,31840,4
13656,GEG,ORD,989457,10304,4
8490,CVG,BUF,988995,17894,4
34133,SYR,CLT,988054,11730,4
33214,SMF,SFO,987441,48949,4
18671,LAN,ORD,986850,31320,4
1958,ATL,ILM,985980,39896,4
1659,ANC,PDX,985474,10136,4
7441,CLT,SYR,984821,11860,4
29651,RIC,DTW,982696,20911,4
2053,ATL,ROA,978195,39655,4
26436,ORD,LAN,977126,31999,4
28069,PIT,CRW,975767,22833,4
2397,AUS,STL,974459,16712,4
35750,TYS,MEM,969514,26838,4
3586,BHM,CVG,969122,20637,4
17034,ILM,ATL,968580,39562,4
31574,SEA,EUG,968277,44136,4
24694,MSP,TUS,963519,9728,4
2244,AUS,BNA,962741,10684,4
30221,ROC,CLT,962047,11448,4
15808,HOU,MAF,961210,13598,4
19161,LAX,HOU,960492,9791,4
24866,MSY,PHX,959988,9193,4
21395,MCI,CLE,958236,21184,4
9096,DAY,DCA,956956,19927,4
18010,JAX,LGA,956707,18547,4
1417,AMA,ABQ,955509,13289,4
3617,BHM,HOU,954848,10082,4
31549,SEA,CLT,953885,8064,4
18149,JFK,CLE,952702,24538,4
16830,ICT,PHX,951624,14942,4
3646,BHM,MCO,951425,13120,4
34802,TPA,BHM,950622,10685,4
11906,EWR,SYR,950560,32752,4
32078,SFO,SMF,950356,48488,4
27619,PHX,ICT,950312,15039,4
21117,MAF,ABQ,949159,12190,4
7846,COS,ATL,948932,8955,4
8334,CRW,PIT,948802,22784,4
27672,PHX,MSY,947855,9176,4
7990,COS,STL,947664,12020,4
26395,ORD,GEG,947387,10389,4
11508,EUG,SEA,946319,42004,4
22527,MEM,PHX,945611,16935,4
11227,ELP,MAF,940672,14917,4
27001,PDX,DTW,939435,7190,4
30063,ROA,ATL,939217,39346,4
24868,MSY,PIT,939098,11182,4
6987,CLE,JFK,938301,24504,4
28634,PVD,CVG,937047,12600,4
21686,MCO,BHM,936671,13131,4
4665,BOS,SJC,936161,9103,4
30227,ROC,DCA,934644,19482,4
20264,LIT,IAH,933872,25136,4
9372,DCA,JAX,933767,13296,4
1885,ATL,COS,932926,9104,4
28104,PIT,GRR,932689,19418,4
16568,IAH,LIT,931318,25232,4
25159,MYR,LGA,930760,9687,4
16368,IAD,PHL,930711,21172,4
4652,BOS,ROC,930642,25632,4
4259,BNA,AUS,928973,10678,4
9328,DCA,DAY,928520,19559,4
5162,BTV,EWR,928473,27369,4
18897,LAS,MEM,926920,12110,4
30572,SAN,CLT,926020,8068,4
6277,CHA,CLT,925061,27684,4
7428,CLT,SEA,924922,7992,4
283,ABQ,LBB,923762,12972,4
30210,ROC,BOS,922906,25932,4
20090,LGA,MYR,922470,9701,4
26356,ORD,CWA,922318,35321,4
33605,STL,COS,921609,12737,4
11716,EWR,BTV,921552,27551,4
22463,MEM,LAS,919863,11964,4
11700,EWR,BDL,917557,31383,4
9102,DAY,DTW,916369,30490,4
9421,DCA,ROC,916171,19664,4
34608,TOL,ATL,914235,18272,4
17965,JAX,DCA,914056,13253,4
28166,PIT,MSY,913214,11169,4
16603,IAH,OAK,912764,7561,4
19010,LAW,DFW,909191,52227,4
22078,MDW,BHM,906069,10101,4
25512,OAK,IAH,905698,7486,4
14637,GRR,PIT,904987,19293,4
7335,CLT,HSV,903665,23334,4
22586,MEM,TYS,903113,25637,4
9700,DFW,LAW,900777,52391,4
15939,HSV,CLT,900559,23169,4
26870,PBI,RDU,899370,11111,4
7419,CLT,ROC,899253,11506,4
20134,LGA,SYR,898957,35182,4
1901,ATL,DHN,898469,38419,4
7348,CLT,JFK,896672,13114,4
8453,CVG,ABQ,896662,8877,4
4221,BMI,ORD,896441,31738,4
35608,TYR,DFW,895570,46127,4
34181,SYR,LGA,894557,35053,4
29353,RDU,PBI,893263,11096,4
14825,GSO,PIT,893177,19384,4
26952,PDX,ANC,893089,10789,4
30910,SAT,SLC,892290,10923,4
35682,TYS,CVG,892283,25136,4
13027,FSD,ORD,890495,20438,4
20097,LGA,PHL,890021,28198,4
8686,CVG,TYS,889411,23061,4
8776,CWA,ORD,889366,34088,4
27889,PIA,STL,889202,37575,4
3467,BGR,MCO,888582,3283,4
10628,DTW,PDX,887137,7209,4
9836,DHN,ATL,886923,38232,4
7422,CLT,SAN,886291,8065,4
30247,ROC,IAD,885477,19598,4
16387,IAD,ROC,884428,18977,4
6976,CLE,IAD,883274,33755,4
10726,EAT,SEA,883135,45212,4
8565,CVG,IAD,882879,24358,4
27372,PHL,IAD,880851,20905,4
16237,IAD,CLE,880714,33676,4
26390,ORD,FSD,880389,20469,4
2085,ATL,TOL,879627,18096,4
10510,DTW,DAY,879244,30586,4
9196,DAY,PHL,873431,20334,4
29357,RDU,PHX,873046,8786,4
27704,PHX,RDU,871135,8805,4
31568,SEA,EAT,869849,46176,4
8566,CVG,IAH,869550,26956,4
39,ABE,DTW,869266,22865,4
28105,PIT,GSO,868344,19805,4
6125,CAK,ORD,868316,21051,4
7391,CLT,OAJ,866874,23307,4
24738,MSY,BWI,866192,10049,4
21758,MCO,HOU,865879,9099,4
15811,HOU,MCO,865805,9140,4
32852,SLC,HLN,865517,17517,4
18150,JFK,CLT,864020,13129,4
28824,PWM,ATL,863073,10064,4
25542,OAK,MCI,862671,8460,4
5657,BWI,MSY,862656,10011,4
5696,BWI,ROC,862413,13462,4
9658,DFW,FSM,860824,44041,4
20214,LIT,CVG,858703,17534,4
16486,IAH,CVG,857375,27100,4
33752,STL,PIA,856748,37963,4
16248,IAD,CVG,856306,24109,4
136,ABI,DFW,855007,39431,4
13082,FSM,DFW,854591,42319,4
24893,MSY,SLC,854460,8469,4
24846,MSY,MSP,853967,10968,4
9825,DFW,TYR,853100,46221,4
7271,CLT,CHA,852072,27833,4
2045,ATL,PWM,846724,10083,4
30687,SAN,RNO,846249,9944,4
14918,GSP,DTW,845785,19852,4
10555,DTW,GSP,845688,19925,4
8655,CVG,SAT,844682,11776,4
30213,ROC,BWI,844542,13317,4
3648,BHM,MDW,842363,9997,4
1557,ANC,ADQ,841831,32861,4
9826,DFW,TYS,841425,19280,4
26315,ORD,BHM,841197,15882,4
716,ADQ,ANC,840509,33200,4
32979,SLC,TUS,839741,16678,4
27007,PDX,EWR,838781,6445,4
15588,HNL,EWR,836982,4166,4
26321,ORD,BMI,836242,31785,4
3364,BGM,PIT,835229,18015,4
24610,MSP,MSY,835177,11020,4
35688,TYS,DFW,834783,19079,4
8674,CVG,SYR,834741,17541,4
28627,PVD,CLE,832967,17997,4
314,ABQ,OAK,832556,9138,4
7058,CLE,RDU,831334,20890,4
7053,CLE,PVD,830341,18020,4
25432,OAK,ABQ,829196,9160,4
21536,MCI,OAK,829078,8480,4
22424,MEM,GPT,829063,14357,4
30023,RNO,SAN,828509,9929,4
15624,HNL,OAK,828106,8161,4
14178,GPT,MEM,825470,14144,4
371,ABQ,TUS,824925,10376,4
32582,SJC,JFK,821728,7168,4
29237,RDU,CLE,821306,20819,4
5616,BWI,JFK,819397,32859,4
21581,MCI,SFO,819100,9685,4
32909,SLC,MSY,815840,8453,4
21142,MAF,HOU,815108,12527,4
11860,EWR,PDX,813916,6486,4
4321,BNA,FLL,812925,9053,4
11217,ELP,LBB,812329,11363,4
35264,TUS,ABQ,809699,9256,4
33451,SPS,DFW,809676,47977,4
5277,BUF,CLE,809398,27696,4
34140,SYR,CVG,808086,17379,4
474,ACT,DFW,808044,42021,4
17421,IND,MCI,806547,13914,4
28033,PIT,BGM,805480,18109,4
25403,OAJ,CLT,801924,23177,4
28324,PNS,DFW,801645,18364,4
11787,EWR,HNL,801260,4154,4
35454,TUS,SLC,800820,16755,4
6907,CLE,BUF,800451,27594,4
18308,JFK,SJC,800238,7187,4
26171,OMA,MEM,798049,18513,4
28204,PIT,SBN,795957,16045,4
14149,GPT,IAH,795148,20980,4
2332,AUS,MAF,794633,12190,4
7443,CLT,TLH,791453,17760,4
11619,EVV,ORD,789860,29750,4
31642,SEA,MIA,789603,6206,4
26379,ORD,EVV,788338,29944,4
28896,PWM,PIT,788105,12370,4
21472,MCI,IND,787692,13894,4
16526,IAH,GPT,786496,21363,4
11087,ELM,PIT,785769,15542,4
34481,TLH,CLT,785604,17653,4
21661,MCO,ABQ,785570,7521,4
297,ABQ,MCO,785504,7512,4
3666,BHM,ORD,785291,14833,4
18142,JFK,BWI,784292,32575,4
30779,SAT,CVG,783796,11682,4
16561,IAH,LBB,783734,20188,4
27594,PHX,GEG,783525,8741,4
32010,SFO,MCI,781155,9520,4
19351,LBB,IAH,780244,20070,4
27333,PHL,DAY,778754,19226,4
33223,SMF,STL,778489,7606,4
7923,COS,LAX,778337,14126,4
7129,CLL,DFW,777505,41746,4
19105,LAX,COS,776606,14308,4
9687,DFW,ILE,775240,44873,4
13659,GEG,PHX,774963,8636,4
26335,ORD,CAK,771609,19113,4
8590,CVG,LIT,770911,17631,4
31259,SBN,PIT,769117,15971,4
9612,DFW,CLL,768796,41912,4
23790,MLU,ATL,766311,15035,4
32853,SLC,HNL,766018,3055,4
10660,DTW,SLC,766006,7767,4
32682,SJT,DFW,762939,39875,4
9565,DFW,ACT,762544,41921,4
20104,LGA,PWM,761763,32274,4
27386,PHL,JFK,761251,29273,4
22074,MDW,BDL,760411,8895,0
16376,IAD,PVD,759907,17222,0
33786,STL,SMF,759389,7634,0
16944,ILE,DFW,759109,45091,0
14796,GSO,MCO,757202,14959,0
22515,MEM,OMA,756134,17334,0
32814,SLC,DTW,755780,7740,0
12441,FLL,BNA,754384,9130,0
9801,DFW,SJT,753649,40006,0
2919,BDL,MDW,752806,8704,0
30645,SAN,MCI,752700,8386,0
9563,DFW,ABI,752049,38505,0
28877,PWM,LGA,751824,32419,0
9769,DFW,PNS,751223,18345,0
2090,ATL,TUS,751188,6290,0
31299,SBP,LAX,751177,38466,0
21133,MAF,ELP,750545,11845,0
11115,ELP,ATL,750082,7695,0
22117,MDW,DET,749358,11637,0
26571,ORD,XNA,748533,22880,0
35272,TUS,ATL,747754,6251,0
34564,TLH,TPA,747338,27066,0
21121,MAF,AUS,746925,12172,0
15759,HOU,DTW,746840,10906,0
21752,MCO,GSO,746632,14930,0
21571,MCI,SAN,743031,8448,0
2002,ATL,MLU,742478,14518,0
33576,STL,BHM,740435,17685,0
23010,MHT,DCA,740417,13213,0
34902,TPA,MHT,739048,6885,0
26224,OMA,SLC,737921,13612,0
15644,HNL,SLC,737767,3101,0
27584,PHX,FLL,736754,5359,0
10559,DTW,HOU,736346,10861,0
19331,LBB,ELP,735657,13280,0
28223,PIT,TOL,735155,17456,0
32825,SLC,FAT,734958,15189,0
19262,LAX,SBP,734738,38471,0
2923,BDL,MIA,734726,7016,0
34962,TPA,TLH,734673,27133,0
12568,FLL,PHX,734441,5373,0
30750,SAT,BNA,731361,8612,0
5614,BWI,JAN,731102,8796,0
12150,FAT,LAS,731102,17913,0
33279,SNA,DTW,730415,7505,0
18825,LAS,FAT,730160,17868,0
16529,IAH,GSO,729856,14184,0
23090,MHT,TPA,729614,6888,0
36124,XNA,ORD,729147,22898,0
22982,MHT,ATL,728948,9286,0
9092,DAY,CVG,728856,20387,0
22455,MEM,JAX,728753,16761,0
34742,TOL,PIT,728607,17469,0
17869,JAN,MEM,728187,14810,0
1229,ALB,EWR,728089,24934,0
4642,BOS,PWM,727331,30441,0
9536,DET,MDW,726685,11389,0
32388,SHV,IAH,725383,32397,0
22454,MEM,JAN,722750,14963,0
25508,OAK,HNL,722649,7808,0
28084,PIT,ELM,721786,13918,0
23122,MIA,BDL,721069,7067,0
8773,CWA,MSP,720892,29420,0
30854,SAT,MCO,715704,7206,0
1997,ATL,MHT,715650,9343,0
1889,ATL,CRW,714822,33163,0
8255,CRW,ATL,714728,32866,0
10680,DTW,TYS,714300,20732,0
14765,GSO,IAH,714108,13742,0
22446,MEM,ICT,713780,21736,0
30,ABE,CLT,713671,10699,0
32917,SLC,OMA,712966,13486,0
24490,MSP,DAY,710554,15916,0
28834,PWM,BOS,709964,29227,0
4417,BNA,PVD,709784,7700,0
24487,MSP,CWA,709625,29517,0
28661,PVD,IAD,709279,17110,0
16805,ICT,MEM,708274,21761,0
7515,CMH,BNA,708001,9670,0
31633,SEA,MCI,707797,7292,0
5211,BTV,PIT,707491,11551,0
16642,IAH,SHV,705021,32282,0
6129,CAK,PIT,703424,15203,0
1909,ATL,ELP,703402,7736,0
4429,BNA,SAT,702303,8600,0
18020,JAX,MEM,701879,16705,0
23001,MHT,CLT,701605,7990,0
14737,GSO,DTW,701585,15313,0
33979,SUX,MSP,700606,30141,0
9393,DCA,MHT,699864,13095,0
30759,SAT,BWI,699423,6449,0
21850,MCO,SAT,698794,7258,0
26176,OMA,MKE,698255,17654,0
9314,DCA,CHS,697536,16940,0
10554,DTW,GSO,697177,15400,0
24683,MSP,SUX,696270,30212,0
2097,ATL,XNA,693327,19704,0
10663,DTW,SNA,693061,7525,0
24380,MSO,MSP,692823,8593,0
13232,FWA,ATL,692804,14733,0
28137,PIT,LEX,692098,16285,0
16378,IAD,PWM,689331,15025,0
5352,BUF,MDW,686270,7268,0
24429,MSP,AUS,685447,10824,0
17796,JAN,BWI,685228,8766,0
28052,PIT,CAK,684446,15267,0
28615,PVD,BNA,683880,7728,0
1929,ATL,FWA,683543,14826,0
23647,MKE,OMA,683510,17934,0
7377,CLT,MHT,682766,7988,0
16344,IAD,MHT,682739,15594,0
29623,RIC,BOS,681771,18777,0
24813,MSY,LAS,681371,6089,0
34530,TLH,MIA,681026,21652,0
350,ABQ,SFO,680937,9947,0
36024,XNA,ATL,679843,19604,0
23326,MIA,SEA,679501,6481,0
32781,SLC,BWI,679495,5380,0
4291,BNA,CMH,679246,9636,0
13263,FWA,CVG,678605,19330,0
12183,FAT,PHX,678216,15732,0
9184,DAY,MSP,678043,15128,0
22090,MDW,BUF,677872,7314,0
19992,LGA,CHS,677554,19509,0
25724,OGG,SEA,677138,3469,0
27698,PHX,PVD,676137,6076,0
26340,ORD,CHS,676132,12021,0
20538,LNK,STL,674825,16527,0
28700,PVD,PHX,672870,6080,0
33702,STL,LNK,672468,16555,0
25441,OAK,ATL,671353,5128,0
5700,BWI,SAT,671053,6490,0
24608,MSP,MSO,670967,8589,0
11689,EWR,ALB,670910,25074,0
23033,MHT,IAD,670156,16032,0
28216,PIT,SNA,667329,7374,0
31646,SEA,MSO,664867,13467,0
27581,PHX,FAT,662943,15742,0
22169,MDW,JAN,662937,8826,0
8517,CVG,DAY,662115,21234,0
7225,CLT,ABE,661181,10840,0
6575,CHS,LGA,658376,19166,0
31890,SFO,ABQ,658167,9206,0
28866,PWM,IAD,657887,14977,0
21578,MCI,SEA,657562,7455,0
35691,TYS,DTW,657315,18882,0
23350,MIA,TLH,656975,21532,0
15748,HOU,CVG,655470,14095,0
8544,CVG,FWA,654615,19436,0
9808,DFW,SPS,654477,47292,0
4647,BOS,RIC,654394,17758,0
12548,FLL,MSP,653960,5315,0
19817,LEX,PIT,652693,16251,0
33341,SNA,PIT,652610,7359,0
19528,LCH,IAH,652566,29237,0
4494,BOS,BNA,651573,9713,0
24399,MSO,SEA,650526,13185,0
3698,BHM,STL,649590,17586,0
21685,MCO,BGR,648226,2449,0
11695,EWR,AUS,647865,8409,0
15645,HNL,SMF,647501,2932,0
33148,SMF,HNL,647331,2910,0
13651,GEG,OAK,644047,7120,0
32196,SGF,ORD,643566,20127,0
18276,JFK,PHL,643255,29291,0
10520,DTW,DSM,643173,16096,0
17843,JAN,IAH,642439,19650,0
31962,SFO,FAT,642160,34730,0
30558,SAN,BOS,641569,5028,0
4271,BNA,BOS,641036,9620,0
23936,MOB,DFW,640971,13879,0
31634,SEA,MCO,639180,4583,0
25701,OGG,DFW,638365,3339,0
6529,CHS,DCA,637720,17062,0
27679,PHX,OGG,637354,4089,0
1913,ATL,EVV,636953,28766,0
26538,ORD,SGF,636004,19966,0
2286,AUS,EWR,635963,8371,0
9735,DFW,MOB,635832,13825,0
17358,IND,FLL,635589,6086,0
16551,IAH,JAN,635345,19711,0
2352,AUS,MSP,635082,10662,0
35196,TUL,SLC,634803,11708,0
8606,CVG,MHT,632888,10454,0
12207,FAT,SLC,632395,12944,0
10314,DSM,DTW,631120,15971,0
25721,OGG,PHX,630315,4036,0
21677,MCO,AUS,630212,6527,0
9752,DFW,OGG,630012,3342,0
24515,MSP,FLL,629060,5322,0
24251,MSN,MKE,628563,21221,0
30305,ROC,SYR,628116,15122,0
11530,EVV,ATL,627736,28612,0
18919,LAS,OKC,627629,6243,0
21855,MCO,SEA,627237,4564,0
8275,CRW,CLT,626126,19358,0
25497,OAK,GEG,626057,8154,0
12511,FLL,IND,625804,6333,0
27034,PDX,IAD,625429,5397,0
7285,CLT,CRW,624819,19508,0
11742,EWR,DAY,624427,16128,0
23956,MOB,IAH,623535,21488,0
8562,CVG,HOU,622509,14170,0
5711,BWI,SLC,622395,5376,0
2016,ATL,OAK,621886,5157,0
18912,LAS,MSY,621687,6040,0
9169,DAY,MCO,621097,8418,0
2253,AUS,BWI,620850,5861,0
5514,BWI,AUS,620724,5929,0
16312,IAD,JAX,619272,14476,0
16562,IAH,LCH,618473,28845,0
17993,JAX,IAD,618390,14619,0
2591,AVP,PHL,618131,18243,0
23811,MLU,DFW,618021,17228,0
12202,FAT,SFO,617152,34339,0
16226,IAD,BUF,616770,16144,0
17867,JAN,MDW,616052,8822,0
15814,HOU,MEM,615298,9906,0
16593,IAH,MOB,613692,21165,0
407,ABY,ATL,612741,31653,0
25865,OKC,LAS,612146,6034,0
1825,ATL,ABY,611786,31881,0
9110,DAY,EWR,611249,16233,0
9357,DCA,GSO,610415,16969,0
4716,BPT,IAH,610128,29738,0
22440,MEM,HOU,608807,9963,0
34223,SYR,ROC,607889,16902,0
4655,BOS,SAN,607602,5018,0
15082,GTF,HLN,607406,16438,0
9669,DFW,GRK,607106,19176,0
18273,JFK,PDX,606969,5472,0
14430,GRK,DFW,605886,19157,0
27569,PHX,DSM,604993,9781,0
6597,CHS,ORD,604150,11375,0
4263,BNA,BDL,603932,7451,0
16553,IAH,JFK,603848,8106,0
9707,DFW,LFT,603259,30784,0
23006,MHT,CVG,602936,10203,0
25134,MYR,DTW,601713,6919,0
27348,PHL,EWR,601624,18301,0
18285,JFK,PWM,601349,9402,0
7306,CLT,EWN,600420,18528,0
26493,ORD,OGG,599304,2592,0
33440,SPI,STL,598676,46110,0
19887,LFT,DFW,598001,30470,0
28873,PWM,JFK,597902,9329,0
33429,SPI,ORD,597877,23269,0
28125,PIT,ITH,596817,13574,0
32570,SJC,HNL,596798,3569,0
19737,LEX,DTW,596787,19857,0
581,ACV,SFO,596646,26567,0
16590,IAH,MKE,596442,13778,0
8556,CVG,GSP,596143,19097,0
30740,SAT,AUS,595221,13382,0
24775,MSY,FLL,595206,5753,0
27042,PDX,JFK,594577,5444,0
15643,HNL,SJC,594533,3386,0
21718,MCO,DAY,593931,7987,0
16240,IAD,CMH,592916,17921,0
21847,MCO,ROC,592473,6565,0
294,ABQ,MAF,592084,7452,0
23587,MKE,IAH,592081,13621,0
26547,ORD,SPI,591954,23169,0
2269,AUS,CVG,591848,9371,0
5321,BUF,IAD,591812,15390,0
10614,DTW,MYR,591776,6875,0
25801,OKC,CVG,591708,12667,0
7580,CMH,IAD,591331,17991,0
27287,PHL,AVP,591079,18134,0
32028,SFO,MSY,590840,5915,0
28190,PIT,PWM,590504,10055,0
29331,RDU,MEM,590463,15391,0
31669,SEA,PUW,589778,23197,0
34188,SYR,MCO,588602,5957,0
22541,MEM,RDU,587769,15560,0
10394,DSM,PHX,587632,9665,0
30865,SAT,MSP,586659,7263,0
11656,EWN,CLT,586275,18459,0
31892,SFO,ACV,586167,26555,0
18207,JFK,IAH,585220,8992,0
10582,DTW,LEX,585106,19967,0
32978,SLC,TUL,585096,11864,0
10471,DTW,BHM,584212,11502,0
31561,SEA,DCA,584058,4961,0
21868,MCO,SYR,582733,5988,0
33349,SNA,RNO,582690,6967,0
18399,JNU,KTN,581551,9468,0
34896,TPA,MCI,581536,6172,0
30268,ROC,MCO,581209,6393,0
2168,ATW,MKE,580732,22660,0
20842,LSE,ORD,580422,23928,0
24659,MSP,SAT,580247,7358,0
16234,IAD,CHS,579712,15521,0
3595,BHM,DTW,578281,11394,0
30545,SAN,AUS,577816,5411,0
17688,ITH,PIT,576428,12234,0
26360,ORD,DBQ,575415,22598,0
7533,CMH,CLE,574518,23595,0
27642,PHX,LIT,574151,5442,0
9428,DCA,SEA,572835,4947,0
6558,CHS,IAD,572752,15433,0
14909,GSP,CVG,571565,18912,0
2836,BDL,BNA,571549,7434,0
12549,FLL,MSY,571393,5773,0
9267,DBQ,ORD,571048,21208,0
8652,CVG,ROC,570857,14591,0
30224,ROC,CVG,568478,14423,0
9711,DFW,LRD,567940,20468,0
20623,LRD,DFW,566396,20694,0
7147,CLL,IAH,565390,31846,0
26447,ORD,LIT,564928,13016,0
14732,GSO,DCA,564392,17033,0
1940,ATL,GRR,564305,13867,0
30038,RNO,SNA,564160,7017,0
26450,ORD,LSE,563852,23184,0
32435,SHV,MLU,563555,10337,0
19359,LBB,LAS,562385,4936,0
13051,FSD,STL,562257,10500,0
13425,FYV,DFW,557051,27280,0
31028,SAV,ORD,556710,10158,0
10528,DTW,ERI,556137,21908,0
33788,STL,SPI,555160,45892,0
20319,LIT,ORD,555041,12907,0
24358,MSO,GTF,553133,14033,0
3626,BHM,JAN,553105,8727,0
30975,SAV,DFW,552955,12682,0
11351,ERI,DTW,552856,20967,0
2378,AUS,SAN,552838,5179,0
16463,IAH,BPT,552535,29061,0
9661,DFW,FYV,551470,26426,0
28852,PWM,DTW,551410,10372,0
26097,OMA,DCA,551124,10526,0
2173,ATW,MSP,550545,21126,0
14512,GRR,ATL,550278,13801,0
16366,IAD,PDX,549509,5332,0
20044,LGA,HOU,549128,6733,0
25135,MYR,EWR,547808,6869,0
23635,MKE,MSN,547568,21275,0
